,balanced_accuracy,recall,precision,f1_score
lgr,0.5596616503354611,0.12966878083157152,0.5287356321839081,0.2082625919637804
lgr_oversample,0.6714836080461467,0.40204369274136714,0.3785666887856669,0.3899521531100479
lgr_oversample_bac,0.7763814192105138,0.7475922010805732,0.25566356041131105,0.38102364561508534
lgr_smote_bac,0.7786508457941417,0.7973925299506694,0.2291645569620253,0.35601352945803505
lgr_adasyn_bac,0.7786936896746863,0.8132487667371389,0.2214971209213052,0.34816714436566604
lgr_weight_bac,0.7847271959775144,0.8110171482264505,0.23108329707841102,0.35968225029300693
lgr_weight_tune_bac,0.7846684691746015,0.8108996946206248,0.23105756358768406,0.35963952700942853
