,balanced_accuracy,recall,precision,f1_score
imbalanced data,0.50034876943379,0.0007080481472740147,0.8571428571428571,0.0014149274849663955
oversampling,0.7714427676905642,0.8292423884824168,0.205018234865062,0.3287562282158647
SMOTE,0.7028969247416863,0.5257257493509558,0.28077141236528647,0.3660490530380839
ADASYN,0.7021470899918624,0.5212414444182204,0.28414281119330975,0.36779216453640867
Hypertuned Oversampling,0.7772295275647443,0.7675241916450318,0.24288595115393233,0.36900034040621804
